url,last_commit,stars
"https://github.com/johnbywater/quantdsl","2018-04-14","381"
"https://github.com/man-group/ArcticDB","2026-07-13","2421"
"https://github.com/brotto/crng","2026-04-12","7"
"https://github.com/OpenBB-finance/OpenBBTerminal","2026-07-08","70494"
"https://github.com/Fincept-Corporation/FinceptTerminal","2026-07-07","28288"
"https://github.com/enthought/pyql","2025-08-20","1315"
"https://github.com/opendoor-labs/pyfin","2014-12-03","318"
"https://github.com/vollib/vollib","2023-06-05","997"
"https://github.com/jsmidt/QuantPy","2023-05-25","1033"
"https://github.com/alpha-miner/Finance-Python","2024-01-01","899"
"https://github.com/pmorissette/ffn","2026-06-30","2614"
"https://github.com/GriffinAustin/pynance","2021-02-03","462"
"https://github.com/bpsmith/tia","2023-02-15","428"
"https://github.com/ynouri/pysabr","2022-04-21","614"
"https://github.com/domokane/FinancePy","2026-06-16","3040"
"https://github.com/goldmansachs/gs-quant","2026-07-10","11236"
"https://github.com/federicomariamassari/willowtree","2018-07-14","370"
"https://github.com/federicomariamassari/financial-engineering","2017-11-20","531"
"https://github.com/dbrojas/optlib","2022-11-18","1610"
"https://github.com/google/tf-quant-finance","2026-02-12","5426"
"https://github.com/RomanMichaelPaolucci/Q-Fin","2023-10-31","636"
"https://github.com/quantsbin/Quantsbin","2023-07-06","640"
"https://github.com/bbcho/finoptions-dev","2024-02-01","298"
"https://github.com/ymyke/pypme","2026-01-16","14"
"https://github.com/yellowbean/AbsBox","2026-03-28","69"
"https://github.com/akashaero/Intrinsic-Value-Calculator","2025-07-02","93"
"https://github.com/deltaray-io/kelly-criterion","2022-12-08","116"
"https://github.com/attack68/rateslib","2026-05-20","351"
"https://github.com/jkirkby3/fypy","2025-02-27","144"
"https://github.com/Julian-Beatty/Pyderivatives","2026-05-23","35"
"https://github.com/FlashAlpha-lab/flashalpha-python","2026-06-17","4"
"https://github.com/rgaveiga/optionlab","2026-07-09","534"
"https://github.com/joseprupi/quantraserver","2026-07-12","28"
"https://github.com/femtotrader/pandas_talib","2018-05-30","785"
"https://github.com/peerchemist/finta","2022-07-24","2259"
"https://github.com/cirla/tulipy","2019-04-11","93"
"https://github.com/Boulder-Investment-Technologies/lppls","2026-05-30","464"
"https://github.com/nardew/talipp","2025-09-09","532"
"https://github.com/mr-easy/streaming_indicators","2025-04-27","153"
"https://github.com/pmxt-dev/pmxt","2026-07-11","1967"
"https://github.com/skfolio/skfolio","2026-06-22","2042"
"https://github.com/coding-kitties/investing-algorithm-framework","2026-07-10","1397"
"https://github.com/mhallsmoore/qstrader","2024-06-30","3413"
"https://github.com/Blankly-Finance/Blankly","2024-12-30","2458"
"https://github.com/mrjbq7/ta-lib","2026-07-04","12121"
"https://github.com/quantopian/zipline","2024-02-13","19970"
"https://github.com/stefan-jansen/zipline-reloaded","2026-01-06","1834"
"https://github.com/QuantSoftware/QuantSoftwareToolkit","2017-10-02","480"
"https://github.com/jeffrey-liang/quantitative","2019-03-03","67"
"https://github.com/llazzaro/analyzer","2015-12-22","216"
"https://github.com/pmorissette/bt","2026-07-03","2913"
"https://github.com/backtrader/backtrader","2024-08-19","22418"
"https://github.com/thalesians/pythalesians","2016-09-23","63"
"https://github.com/ematvey/pybacktest","2021-11-11","822"
"https://github.com/gbeced/pyalgotrade","2023-11-13","4663"
"https://github.com/gbeced/basana","2026-07-11","850"
